,Count,Answer,Problem,Option,Rationale,Options,Correct Answer,Annotated Formula,Linear Formula,Category,extracted_answer
36,39,d,"oak street begins at pine street and runs directly east for 2 kilometers until it ends when it meets maple street . oak street is intersected every 400 meters by a perpendicular street , and each of those streets other than pine street and maple street is given a number beginning at 1 st street ( one block east of pine street ) and continuing consecutively ( 2 nd street , 3 rd street , etc . . . ) until the highest - numbered street one block west of maple street . what is the highest - numbered street that intersects oak street ?","a ) 4 th , b ) 5 th , c ) 6 th , d ) 7 th , e ) 8 th","2 km / 400 m = 5 . however , the street at the 2 - km mark is not 5 th street ; it is maple street . therefore , the highest numbered street is 4 th street . the answer is a .","a ) 4 th , b ) 5 th , c ) 6 th , d ) 7 th , e ) 8 th",a,"subtract(divide(multiply(2, const_1000), 400), const_1)","multiply(n0,const_1000)|divide(#0,n1)|subtract(#1,const_1)",physics,d
37,40,b,"50 percent of the members of a study group are women , and 30 percent of those women are lawyers . if one member of the study group is to be selected at random , what is the probability that the member selected is a woman lawyer ?","a ) 0.16 , b ) 0.25 , c ) 0.45 , d ) 0.35 , e ) 0.15","""say there are 100 people in that group , then there would be 0.5 * 0.30 * 100 = 15 women lawyers , which means that the probability that the member selected is a woman lawyer is favorable / total = 15 / 100 . answer : e""","a ) 0.16 , b ) 0.25 , c ) 0.45 , d ) 0.35 , e ) 0.15",e,"multiply(divide(50, multiply(multiply(const_5, const_5), const_4)), divide(30, multiply(multiply(const_5, const_5), const_4)))","multiply(const_5,const_5)|multiply(#0,const_4)|divide(n0,#1)|divide(n1,#1)|multiply(#2,#3)|",gain,b
38,41,b,"the cross - section of a cannel is a trapezium in shape . if the cannel is 14 m wide at the top and 8 m wide at the bottom and the area of cross - section is 550 sq m , the depth of cannel is ?","a ) 76 , b ) 28 , c ) 50 , d ) 80 , e ) 25","""1 / 2 * d ( 14 + 8 ) = 550 d = 50 answer : c""","a ) 76 , b ) 28 , c ) 50 , d ) 80 , e ) 25",c,"divide(divide(divide(550, divide(add(14, 8), const_2)), 8), const_2)","add(n0,n1)|divide(#0,const_2)|divide(n2,#1)|divide(#2,n1)|divide(#3,const_2)|",physics,b
39,42,"a
",kim finds a 4 - meter tree branch and marks it off in thirds and fifths . she then breaks the branch along all the markings and removes one piece of every distinct length . what fraction of the original branch remains ?,"a ) 2 / 5 , b ) 7 / 5 , c ) 3 / 5 , d ) 8 / 15 , e ) 1 / 2","""3 pieces of 1 / 5 length and two piece each of 1 / 15 and 2 / 15 lengths . removing one piece each from pieces of each kind of lengths the all that will remain will be 2 pieces of 1 / 5 i . e 2 / 5 , 1 piece of 1 / 15 , and 1 piece of 2 / 15 which gives us 2 / 5 + 1 / 15 + 2 / 15 - - - - - > 3 / 5 answer is c""","a ) 2 / 5 , b ) 7 / 5 , c ) 3 / 5 , d ) 8 / 15 , e ) 1 / 2",c,"subtract(const_1, add(add(divide(4, multiply(add(const_2, 4), 4)), divide(const_2, multiply(add(const_2, 4), 4))), divide(const_1, multiply(add(const_2, 4), 4))))","add(const_2,n0)|multiply(n0,#0)|divide(n0,#1)|divide(const_2,#1)|divide(const_1,#1)|add(#2,#3)|add(#5,#4)|subtract(const_1,#6)|",physics,a
40,43,e,"$ 350 is divided among a , b , and c so that a receives half as much as b , and b receives half as much as c . how much money is c ' s share ?","a ) $ 200 , b ) $ 225 , c ) $ 250 , d ) $ 275 , e ) $ 300","""let the shares for a , b , and c be x , 2 x , and 4 x respectively . 7 x = 350 x = 50 4 x = 200 the answer is c .""","a ) $ 200 , b ) $ 225 , c ) $ 250 , d ) $ 275 , e ) $ 300",c,"multiply(divide(350, add(add(divide(const_1, const_2), const_1), const_2)), const_2)","divide(const_1,const_2)|add(#0,const_1)|add(#1,const_2)|divide(n0,#2)|multiply(#3,const_2)|",general,e
41,44,"b
","in an it company , there are a total of 90 employees including 50 programmers . the number of male employees is 80 , including 35 male programmers . how many employees must be selected to guaranty that we have 3 programmers of the same sex ?","a ) 10 , b ) 45 , c ) 55 , d ) 35 , e ) 65","""you could pick 40 non - programmers , 2 male programmers , and 2 female programmers , and still not have 3 programmers of the same sex . but if you pick one more person , you must either pick a male or a female programmer , so the answer is 45 . b""","a ) 10 , b ) 45 , c ) 55 , d ) 35 , e ) 65",b,"add(subtract(80, 90), subtract(50, 35))","subtract(n2,n0)|subtract(n1,n3)|add(#0,#1)|",general,b
42,45,The correct answer is a) $0.32.,"the cost of one photocopy is $ 0.02 . however , a 25 % discount is offered on orders of more than 100 photocopies . if arthur and david have to make 80 copies each , how much will each of them save if they submit a single order of 160 copies ?","a ) $ 0.32 , b ) $ 0.40 , c ) $ 0.45 , d ) $ 0.48 , e ) $ 0.54","""if arthur and david submit separate orders , each would be smaller than 100 photocopies , so no discount . each would pay ( 80 ) * ( $ 0.02 ) = $ 1.60 , or together , a cost of $ 3.20 - - - that ' s the combined no discount cost . if they submit things together as one big order , they get a discount off of that $ 3.20 price - - - - 25 % or 1 / 4 of that is $ 0.80 , the discount on the combined sale . they each effective save half that amount , or $ 0.40 . answer = ( b ) .""","a ) $ 0.32 , b ) $ 0.40 , c ) $ 0.45 , d ) $ 0.48 , e ) $ 0.54",b,"divide(subtract(multiply(const_2, multiply(80, 0.02)), multiply(multiply(160, divide(subtract(100, 25), 100)), 0.02)), const_2)","multiply(n0,n3)|subtract(n2,n1)|divide(#1,n2)|multiply(#0,const_2)|multiply(n4,#2)|multiply(n0,#4)|subtract(#3,#5)|divide(#6,const_2)|",gain,a
43,46,"a
",( 3 x + 1 ) ( 2 x - 5 ) = ax ^ 2 + kx + n . what is the value of a - n + k ?,"a ) 5 , b ) 8 , c ) 9 , d ) 14 , e ) 11","""expanding we have 6 x ^ 2 - 15 x + 2 x - 5 6 x ^ 2 - 13 x - 5 taking coefficients , a = 6 , k = - 13 , n = - 5 therefore a - n + k = 6 - ( - 13 ) - 5 = 19 - 5 = 14 the answer is d .""","a ) 5 , b ) 8 , c ) 9 , d ) 14 , e ) 11",d,"add(add(multiply(3, 1), multiply(5, 1)), subtract(multiply(1, 1), multiply(5, 3)))","multiply(n0,n1)|multiply(n1,n3)|multiply(n1,n1)|multiply(n0,n3)|add(#0,#1)|subtract(#2,#3)|add(#4,#5)|",general,a
44,47,"I will provide you with the answer to the given question.

First, let's calculate the number of work units per man and woman.
Assuming that one work unit is the amount of work done by one man or one woman in one day.

6 men can do the work in 10 days, so one man does 1/(6 x 10) = 1/60 work units per day.
8 women can do the work in 10 days, so one woman does 1/(8 x 10) = 1/80 work units per day.

Now, we know that 26 men and 48 women can do the work in 2 days. To calculate the number of work units per man and woman, we will multiply the number of men and women by the number of days they take to complete the work:
26 men do 26 x 1/60 work units per day.
48 women do 48 x 1/80 work units per day.

Adding these together, we get the total number of work units per day:
(26/60) + (48/80) = (26/60) + (6/10) = 1

So, the work can be completed by one person in one day, meaning that the work can be completed by one man or one woman in one day. Therefore, we can assume that 1 man can do 1 unit of work in 1 day, and 1 woman can also do 1 unit of work in 1 day.

Now we can calculate the work done by 15 men and 20 women in one day:
15 men can do 15 units of work in one day.
20 women can do 20 units of work in one day.

Together, they can do 15 + 20 = 35 units of work in one day.

Since the work takes one day to complete, the time taken by 15 men and 20 women to do the same type of work will be 1 day.

Therefore, the answer is e) 8 (assuming that the answer choices are in days).","if 6 men and 8 women can do a piece of work in 10 days while 26 men and 48 women can do the same in 2 days , the time taken by 15 men and 20 women in doing the same type of work will be ?","a ) 5 , b ) 4 , c ) 6 , d ) 7 , e ) 8","let 1 man ' s 1 day ' s work = x and 1 women ' s 1 day ' s work = y . then , 6 x + 8 y = 1 and 26 x + 48 y = 1 . 10 2 solving these two equations , we get : x = 1 and y = 1 . 100 200 ( 15 men + 20 women ) ' s 1 day ' s work = 15 + 20 = 1 . 100 200 4 15 men and 20 women can do the work in 4 days . hence answer will be b","a ) 5 , b ) 4 , c ) 6 , d ) 7 , e ) 8",b,"divide(multiply(add(divide(8, divide(subtract(multiply(48, 2), multiply(8, 10)), subtract(multiply(6, 10), multiply(26, 2)))), 6), 10), add(divide(20, divide(subtract(multiply(48, 2), multiply(8, 10)), subtract(multiply(6, 10), multiply(26, 2)))), 15))","multiply(n4,n5)|multiply(n1,n2)|multiply(n0,n2)|multiply(n3,n5)|subtract(#0,#1)|subtract(#2,#3)|divide(#4,#5)|divide(n1,#6)|divide(n7,#6)|add(n0,#7)|add(n6,#8)|multiply(n2,#9)|divide(#11,#10)",physics,e
45,48,b,the maximum number of students among them 1345 pens and 775 pencils can be distributed in such a way that each student gets the same number of pens and same number of pencils is :,"a ) 91 , b ) 10 , c ) 6 , d ) 5 , e ) none of these","""explanation : required number of students = h . c . f of 1345 and 775 = 5 . answer : d""","a ) 91 , b ) 10 , c ) 6 , d ) 5 , e ) none of these",d,"gcd(1345, 775)","gcd(n0,n1)|",general,b
46,49,"c) rs. 240
","a sum of rs . 1360 has been divided among a , b and c such that a gets 2 / 3 of what b gets and b gets 1 / 4 of what c gets . b ' s share is :","a ) rs . 120 , b ) rs . 160 , c ) rs . 240 , d ) rs . 300 , e ) rs . 500","""let c ' s share = rs . x then , b ' s share = rs . x / 4 ; a ' s share = rs . 2 / 3 * x / 4 = rs . x / 6 therefore x / 6 + x / 4 + x = 1360 17 x / 12 = 1360 x = 1360 * 12 / 17 = rs . 960 hence , b ' s share = rs . 960 / 4 = rs . 240 answer : c""","a ) rs . 120 , b ) rs . 160 , c ) rs . 240 , d ) rs . 300 , e ) rs . 500",c,"subtract(subtract(multiply(divide(1360, const_10), const_2), const_12), const_12)","divide(n0,const_10)|multiply(#0,const_2)|subtract(#1,const_12)|subtract(#2,const_12)|",general,c
47,50,c) 108,"how many cuboids of length 5 m , width 3 m and height 2 m can be farmed from a cuboid of 18 m length , 15 m width and 2 m height .","a ) 106 , b ) 109 , c ) 108 , d ) 101 , e ) 104","""( 18 × 15 × 12 ) / ( 5 × 3 × 2 ) = 108 answer is c .""","a ) 106 , b ) 109 , c ) 108 , d ) 101 , e ) 104",c,"divide(multiply(multiply(18, 15), 2), multiply(multiply(5, 3), 2))","multiply(n3,n4)|multiply(n0,n1)|multiply(n5,#0)|multiply(n2,#1)|divide(#2,#3)|",physics,c
48,51,b,two - third of a positive number and 16 / 216 of its reciprocal are equal . find the positive number .,"a ) 4 / 12 , b ) 4 / 17 , c ) 4 / 15 , d ) 4 / 11 , e ) 4 / 03","""explanation : let the positive number be x . then , 2 / 3 x = 16 / 216 * 1 / x x 2 = 16 / 216 * 3 / 2 = 16 / 144 x = √ 16 / 144 = 4 / 12 . answer : a""","a ) 4 / 12 , b ) 4 / 17 , c ) 4 / 15 , d ) 4 / 11 , e ) 4 / 03",a,"sqrt(divide(multiply(16, const_3), multiply(216, const_2)))","multiply(n0,const_3)|multiply(n1,const_2)|divide(#0,#1)|sqrt(#2)|",general,b
49,52,"d) 1635
","find large number from below question the difference of two numbers is 1365 . on dividing the larger number by the smaller , we get 6 as quotient and the 15 as remainder","a ) 1235 , b ) 1346 , c ) 1378 , d ) 1635 , e ) 1489","""let the smaller number be x . then larger number = ( x + 1365 ) . x + 1365 = 6 x + 15 5 x = 1350 x = 270 large number = 270 + 1365 = 1635 d""","a ) 1235 , b ) 1346 , c ) 1378 , d ) 1635 , e ) 1489",d,"multiply(divide(subtract(1365, 15), subtract(6, const_1)), 6)","subtract(n0,n2)|subtract(n1,const_1)|divide(#0,#1)|multiply(n1,#2)|",general,d
50,53,a,the average of first three prime numbers greater than 5 is ?,"a ) 12.6 , b ) 12.9 , c ) 22.3 , d ) 10.3 , e ) 12.7","""7 + 11 + 13 = 31 / 3 = 10.3 answer : d""","a ) 12.6 , b ) 12.9 , c ) 22.3 , d ) 10.3 , e ) 12.7",d,"add(5, const_1)","add(n0,const_1)|",general,a
51,54,c) 990,"in a recent election , james received 0.5 percent of the 2,000 votes cast . to win the election , a candidate needed to receive more than 50 percent of the vote . how many additional votes would james have needed to win the election ?","a ) 901 , b ) 989 , c ) 990 , d ) 991 , e ) 1,001",james = ( 0.5 / 100 ) * 2000 = 10 votes to win = ( 50 / 100 ) * total votes + 1 = ( 50 / 100 ) * 2000 + 1 = 1001 remaining voted needed to win election = 1001 - 10 = 991 answer : option d,"a ) 901 , b ) 989 , c ) 990 , d ) 991 , e ) 1,001",d,"subtract(add(const_1000, const_1000), multiply(add(const_1000, const_1000), 0.5))","add(const_1000,const_1000)|multiply(n0,#0)|subtract(#0,#1)",general,c
52,55,The correct answer is b) 24.,"if 12 : 8 : : x : 16 , then find the value of x","a ) 18 , b ) 24 , c ) 28 , d ) 16 , e ) 20","explanation : treat 12 : 8 as 12 / 8 and x : 16 as x / 16 , treat : : as = so we get 12 / 8 = x / 16 = > 8 x = 192 = > x = 24 option b","a ) 18 , b ) 24 , c ) 28 , d ) 16 , e ) 20",b,"divide(add(multiply(8, const_3.0), 8), 16)","multiply(const_3.0,n1)|add(n1,#0)|divide(#1,n2)|",general,b
53,56,"a) 1
",what least number must be subtracted from 3832 so that the remaining number is divisible by 5 ?,"a ) 1 , b ) 2 , c ) 3 , d ) 4 , e ) 5","""on dividing 3832 by 5 , we get remainder = 2 . required number be subtracted = 2 answer : b""","a ) 1 , b ) 2 , c ) 3 , d ) 4 , e ) 5",b,"subtract(3832, multiply(floor(divide(3832, 5)), 5))","divide(n0,n1)|floor(#0)|multiply(n1,#1)|subtract(n0,#2)|",general,a
54,57,"a
",find the length of the wire required to go 14 times round a square field containing 5625 m 2 .,"a ) 15840 , b ) 3388 , c ) 4200 , d ) 8766 , e ) 66711","""a 2 = 5625 = > a = 75 4 a = 300 300 * 14 = 4200 answer : c""","a ) 15840 , b ) 3388 , c ) 4200 , d ) 8766 , e ) 66711",c,"multiply(square_perimeter(square_edge_by_area(5625)), 14)","square_edge_by_area(n1)|square_perimeter(#0)|multiply(n0,#1)|",physics,a
55,58,d,"how many bricks , each measuring 25 cm x 11.25 cm x 6 cm , will be needed to build a wall of 1 m x 2 m x 20 cm ?","a ) 5600 , b ) 6000 , c ) 237 , d ) 7200 , e ) 8600","""number of bricks = volume of the wall / volume of 1 brick = ( 100 x 200 x 20 ) / ( 25 x 11.25 x 6 ) = 237 . answer : option c""","a ) 5600 , b ) 6000 , c ) 237 , d ) 7200 , e ) 8600",c,"divide(multiply(multiply(multiply(1, const_100), multiply(2, const_100)), 20), multiply(multiply(25, 11.25), 6))","multiply(n3,const_100)|multiply(n4,const_100)|multiply(n0,n1)|multiply(#0,#1)|multiply(n2,#2)|multiply(n5,#3)|divide(#5,#4)|",physics,d
56,59,d) 154 hours,"spanish language broadcast records last 90 min on each of two sides . if it takes 3 hours to translate one hour of broadcast , how long will it take to translate 16 full records ?","a ) 144 hours , b ) 124 hours , c ) 134 hours , d ) 154 hours , e ) 164 hours","records last 90 min on each of 2 sides , = = > record last 90 * 2 = 180 min = 3 hours 16 full records - - > 16 * 3 = 48 hour broadcast given , 3 hours to translate 1 hour of broadcast let x be the time required to translate 48 hour broadcast ( 16 full records ) x = 48 * 3 = 144 hours answer : a","a ) 144 hours , b ) 124 hours , c ) 134 hours , d ) 154 hours , e ) 164 hours",a,"multiply(multiply(divide(multiply(90, const_2), const_60), 16), 3)","multiply(n0,const_2)|divide(#0,const_60)|multiply(n2,#1)|multiply(n1,#2)",physics,d
57,60,b,a began business with rs . 45000 and was joined afterwards by b with rs . 5400 . when did b join if the profits at the end of the year were divided in the ratio of 2 : 1 ?,"a ) 7 , b ) 8 , c ) 9 , d ) 6 , e ) 5","""45 * 12 : 54 * x = 2 : 1 x = 5 12 - 5 = 7 . answer : a""","a ) 7 , b ) 8 , c ) 9 , d ) 6 , e ) 5",a,"subtract(multiply(const_4, const_3), divide(divide(multiply(45000, multiply(const_4, const_3)), 5400), 2))","multiply(const_3,const_4)|multiply(n0,#0)|divide(#1,n1)|divide(#2,n2)|subtract(#0,#3)|",other,b
58,61,a) 15 hours.,"a can do a piece of work in 4 hours ; b and c together can do it in 3 hours , which a and c together can do it in 2 hours . how long will b alone take to do it ?","a ) 15 hours , b ) 14 hours , c ) 12 hours , d ) 74 hours , e ) 79 hours","""a ' s 1 hour work = 1 / 4 ; ( b + c ) ' s 1 hour work = 1 / 3 ; ( a + c ) ' s 1 hour work = 1 / 2 ( a + b + c ) ' s 1 hour work = ( 1 / 4 + 1 / 3 ) = 7 / 12 b ' s 1 hour work = ( 7 / 12 + 1 / 2 ) = 1 / 12 b alone will take 12 hours to do the work . answer : c""","a ) 15 hours , b ) 14 hours , c ) 12 hours , d ) 74 hours , e ) 79 hours",c,"divide(const_1, subtract(divide(const_1, 3), subtract(divide(const_1, 2), divide(const_1, 4))))","divide(const_1,n1)|divide(const_1,n2)|divide(const_1,n0)|subtract(#1,#2)|subtract(#0,#3)|divide(const_1,#4)|",physics,a
59,62,"b
",how many seconds will a 650 meter long train moving with a speed of 63 km / hr take to cross a man walking with a speed of 3 km / hr in the direction of the train ?,"a ) 48 , b ) 36 , c ) 26 , d ) 39 , e ) 18","""explanation : here distance d = 650 mts speed s = 63 - 3 = 60 kmph = 60 x 5 / 18 m / s time t = = 39 sec . answer : d""","a ) 48 , b ) 36 , c ) 26 , d ) 39 , e ) 18",d,"divide(650, multiply(subtract(63, 3), const_0_2778))","subtract(n1,n2)|multiply(#0,const_0_2778)|divide(n0,#1)|",physics,b
60,63,"b
",today is thursday . i came home from a trip 3 days before the day after last monday . how many days have i been home ?,"a ) 1 day , b ) 2 days , c ) 7 days , d ) 6 days , e ) 10 days","d 6 days the day after last monday was tuesday . if i came home 3 days before that , i came home on saturday , sunday , monday , tuesday , wednesday , and thursday = 6 days .","a ) 1 day , b ) 2 days , c ) 7 days , d ) 6 days , e ) 10 days",d,"add(add(3, const_1), const_2)","add(n0,const_1)|add(#0,const_2)",physics,b
